image_path,label,split,image_id
data\labelled\normal\d86f39ec-55a1-4484-bcfd-78d5debb43f8.jpg,0,train,d86f39ec-55a1-4484-bcfd-78d5debb43f8
data\labelled\normal\6eb7dfc4-dd36-41cb-b5ea-f68c01aab86b.jpg,0,train,6eb7dfc4-dd36-41cb-b5ea-f68c01aab86b
data\labelled\cancer\e3d3fa80-8a89-4051-b0fa-0c8b4afd2c0a.jpg,1,train,e3d3fa80-8a89-4051-b0fa-0c8b4afd2c0a
data\labelled\cancer\9de0f27b-f3db-4bd7-a2ad-6e785ef36cdc.jpg,1,train,9de0f27b-f3db-4bd7-a2ad-6e785ef36cdc
data\labelled\normal\b8a6c84a-b258-475d-b97d-7612bad79cad.jpg,0,train,b8a6c84a-b258-475d-b97d-7612bad79cad
data\labelled\normal\4131a20d-a19d-4cd9-8791-ee358e6f42d6.jpg,0,train,4131a20d-a19d-4cd9-8791-ee358e6f42d6
data\labelled\cancer\b6a41ca0-aeea-43a8-b629-7c433cf03143.jpg,1,train,b6a41ca0-aeea-43a8-b629-7c433cf03143
data\labelled\cancer\ad5ff4c2-0fe6-4e8c-a022-c11fff3643f3.jpg,1,train,ad5ff4c2-0fe6-4e8c-a022-c11fff3643f3
data\labelled\cancer\9c3a8bbd-8bdb-4fdc-8573-7897d77224c9.jpg,1,train,9c3a8bbd-8bdb-4fdc-8573-7897d77224c9
data\labelled\normal\0161f9bf-fa93-4d02-8dce-84bfd49fe6a2.jpg,0,train,0161f9bf-fa93-4d02-8dce-84bfd49fe6a2
data\labelled\cancer\bbde529e-fccd-4dc5-adfa-622852402a67.jpg,1,train,bbde529e-fccd-4dc5-adfa-622852402a67
data\labelled\normal\e30c2ce4-50bd-44a9-8db0-d54f47cc61b5.jpg,0,train,e30c2ce4-50bd-44a9-8db0-d54f47cc61b5
data\labelled\normal\c04639ab-3a69-4632-8740-651317d7a382.jpg,0,train,c04639ab-3a69-4632-8740-651317d7a382
data\labelled\cancer\1c043dbb-4623-4769-8e5e-0223bd745040.jpg,1,train,1c043dbb-4623-4769-8e5e-0223bd745040
data\labelled\cancer\fb26fe09-029a-4386-a7eb-0b00c87a675d.jpg,1,train,fb26fe09-029a-4386-a7eb-0b00c87a675d
data\labelled\cancer\c6acea0d-0c31-4ce8-b0f8-b4a610a9477d.jpg,1,train,c6acea0d-0c31-4ce8-b0f8-b4a610a9477d
data\labelled\normal\cb46329d-12f5-451d-94c6-cb094c101742.jpg,0,train,cb46329d-12f5-451d-94c6-cb094c101742
data\labelled\cancer\d66dbd3f-d03a-43c9-bf95-a97503acc602.jpg,1,train,d66dbd3f-d03a-43c9-bf95-a97503acc602
data\labelled\cancer\7e3f6acd-c9cc-440e-ba01-fedab0462fed.jpg,1,train,7e3f6acd-c9cc-440e-ba01-fedab0462fed
data\labelled\cancer\bb6a90e9-c19c-4a19-b5f8-b11460f393fe.jpg,1,train,bb6a90e9-c19c-4a19-b5f8-b11460f393fe
data\labelled\normal\b1453a6d-1a6e-4749-a86d-0650eda15190.jpg,0,train,b1453a6d-1a6e-4749-a86d-0650eda15190
data\labelled\cancer\a038584c-fc3c-4f82-9a7c-1c4bb7339c2e.jpg,1,train,a038584c-fc3c-4f82-9a7c-1c4bb7339c2e
data\labelled\cancer\972144a3-6ecd-47af-a5dd-e91ab48a21b9.jpg,1,train,972144a3-6ecd-47af-a5dd-e91ab48a21b9
data\labelled\normal\9e761fb7-da77-4feb-b268-2d873293ee78.jpg,0,train,9e761fb7-da77-4feb-b268-2d873293ee78
data\labelled\cancer\ed12774e-df91-40f1-aed6-77a5a53ede2d.jpg,1,train,ed12774e-df91-40f1-aed6-77a5a53ede2d
data\labelled\normal\2251259e-64fd-44cd-b813-357d0a47e563.jpg,0,train,2251259e-64fd-44cd-b813-357d0a47e563
data\labelled\normal\3ebe5f3a-90d3-4e79-af97-3d9584215044.jpg,0,train,3ebe5f3a-90d3-4e79-af97-3d9584215044
data\labelled\normal\22164f5b-9b9f-4fcc-897a-9f902d730bbe.jpg,0,train,22164f5b-9b9f-4fcc-897a-9f902d730bbe
data\labelled\cancer\be3210d7-e2d1-4cc3-ba77-c1941fd0042a.jpg,1,train,be3210d7-e2d1-4cc3-ba77-c1941fd0042a
data\labelled\cancer\fc219ce8-d4b3-4015-bb19-3ee1bb963e3e.jpg,1,train,fc219ce8-d4b3-4015-bb19-3ee1bb963e3e
data\labelled\normal\525c8281-5980-4d11-b608-5176bdeb092b.jpg,0,train,525c8281-5980-4d11-b608-5176bdeb092b
data\labelled\cancer\5af7f2cb-a82b-4635-865e-5b57dbc7a087.jpg,1,train,5af7f2cb-a82b-4635-865e-5b57dbc7a087
data\labelled\cancer\cb4e6fda-be13-454b-bbda-f75e184444d5.jpg,1,train,cb4e6fda-be13-454b-bbda-f75e184444d5
data\labelled\normal\3f4cb3e9-75fc-4b40-942c-327f2498b37d.jpg,0,train,3f4cb3e9-75fc-4b40-942c-327f2498b37d
data\labelled\normal\89b229af-866b-4625-82ea-5e8041b9236c.jpg,0,train,89b229af-866b-4625-82ea-5e8041b9236c
data\labelled\cancer\b79ca26b-a909-4d31-a657-c4f357e3c8e3.jpg,1,train,b79ca26b-a909-4d31-a657-c4f357e3c8e3
data\labelled\normal\09316c60-86c8-4f24-934e-8d433b8b9d72.jpg,0,train,09316c60-86c8-4f24-934e-8d433b8b9d72
data\labelled\cancer\3c3d07cb-ec2a-43b0-b8a3-3a51573ad930.jpg,1,train,3c3d07cb-ec2a-43b0-b8a3-3a51573ad930
data\labelled\normal\692bfc6f-bcec-42a8-90e9-a867895b9a4b.jpg,0,train,692bfc6f-bcec-42a8-90e9-a867895b9a4b
data\labelled\normal\4a08dc59-4f77-4ae0-80b4-749dbde82b82.jpg,0,train,4a08dc59-4f77-4ae0-80b4-749dbde82b82
data\labelled\cancer\695f9d7a-083f-4856-83d1-638d13b39c99.jpg,1,train,695f9d7a-083f-4856-83d1-638d13b39c99
data\labelled\normal\4660cb59-2980-4933-a315-3326eb72148e.jpg,0,train,4660cb59-2980-4933-a315-3326eb72148e
data\labelled\cancer\d018fae6-42d9-4de3-acbf-6c2637c28482.jpg,1,train,d018fae6-42d9-4de3-acbf-6c2637c28482
data\labelled\normal\1953e998-29b8-4d36-975f-007c4fcb84a3.jpg,0,train,1953e998-29b8-4d36-975f-007c4fcb84a3
data\labelled\normal\ab973d15-084b-402c-9ffe-3b953ad26f4b.jpg,0,train,ab973d15-084b-402c-9ffe-3b953ad26f4b
data\labelled\cancer\e4412dd3-fd1e-44cc-8258-f136b540c401.jpg,1,train,e4412dd3-fd1e-44cc-8258-f136b540c401
data\labelled\normal\71f8bd3d-58a9-485f-860d-cfca5fd01bae.jpg,0,train,71f8bd3d-58a9-485f-860d-cfca5fd01bae
data\labelled\cancer\c6c3d533-e366-42ff-9e69-fa2823910709.jpg,1,train,c6c3d533-e366-42ff-9e69-fa2823910709
data\labelled\normal\42ba7707-26c1-42bc-a00f-3d456741ef96.jpg,0,train,42ba7707-26c1-42bc-a00f-3d456741ef96
data\labelled\normal\14703976-0467-4acb-ade4-8a375ebfd4f9.jpg,0,train,14703976-0467-4acb-ade4-8a375ebfd4f9
