image_path,label,split,image_id,label_name,true_label,weak_label_kmeans,confidence_score,weak_label_kmeans_filtered
data\labelled\normal\d86f39ec-55a1-4484-bcfd-78d5debb43f8.jpg,0,train,d86f39ec-55a1-4484-bcfd-78d5debb43f8,normal,0,0,0.5727045,0
data\labelled\normal\6eb7dfc4-dd36-41cb-b5ea-f68c01aab86b.jpg,0,train,6eb7dfc4-dd36-41cb-b5ea-f68c01aab86b,normal,0,0,0.55330956,0
data\labelled\cancer\e3d3fa80-8a89-4051-b0fa-0c8b4afd2c0a.jpg,1,train,e3d3fa80-8a89-4051-b0fa-0c8b4afd2c0a,cancer,1,1,0.57314205,1
data\labelled\cancer\9de0f27b-f3db-4bd7-a2ad-6e785ef36cdc.jpg,1,train,9de0f27b-f3db-4bd7-a2ad-6e785ef36cdc,cancer,1,1,0.57550657,1
data\labelled\normal\b8a6c84a-b258-475d-b97d-7612bad79cad.jpg,0,train,b8a6c84a-b258-475d-b97d-7612bad79cad,normal,0,1,0.5668499,1
data\labelled\normal\4131a20d-a19d-4cd9-8791-ee358e6f42d6.jpg,0,train,4131a20d-a19d-4cd9-8791-ee358e6f42d6,normal,0,0,0.5495743,0
data\labelled\cancer\b6a41ca0-aeea-43a8-b629-7c433cf03143.jpg,1,train,b6a41ca0-aeea-43a8-b629-7c433cf03143,cancer,1,1,0.55379677,1
data\labelled\cancer\ad5ff4c2-0fe6-4e8c-a022-c11fff3643f3.jpg,1,train,ad5ff4c2-0fe6-4e8c-a022-c11fff3643f3,cancer,1,1,0.5501174,1
data\labelled\cancer\9c3a8bbd-8bdb-4fdc-8573-7897d77224c9.jpg,1,train,9c3a8bbd-8bdb-4fdc-8573-7897d77224c9,cancer,1,1,0.57793176,1
data\labelled\normal\0161f9bf-fa93-4d02-8dce-84bfd49fe6a2.jpg,0,train,0161f9bf-fa93-4d02-8dce-84bfd49fe6a2,normal,0,0,0.5785064,0
data\labelled\cancer\bbde529e-fccd-4dc5-adfa-622852402a67.jpg,1,train,bbde529e-fccd-4dc5-adfa-622852402a67,cancer,1,1,0.58949614,1
data\labelled\normal\e30c2ce4-50bd-44a9-8db0-d54f47cc61b5.jpg,0,train,e30c2ce4-50bd-44a9-8db0-d54f47cc61b5,normal,0,0,0.57677364,0
data\labelled\normal\c04639ab-3a69-4632-8740-651317d7a382.jpg,0,train,c04639ab-3a69-4632-8740-651317d7a382,normal,0,0,0.55921483,0
data\labelled\cancer\1c043dbb-4623-4769-8e5e-0223bd745040.jpg,1,train,1c043dbb-4623-4769-8e5e-0223bd745040,cancer,1,1,0.55959445,1
data\labelled\cancer\fb26fe09-029a-4386-a7eb-0b00c87a675d.jpg,1,train,fb26fe09-029a-4386-a7eb-0b00c87a675d,cancer,1,0,0.55127597,0
data\labelled\cancer\c6acea0d-0c31-4ce8-b0f8-b4a610a9477d.jpg,1,train,c6acea0d-0c31-4ce8-b0f8-b4a610a9477d,cancer,1,1,0.5662948,1
data\labelled\normal\cb46329d-12f5-451d-94c6-cb094c101742.jpg,0,train,cb46329d-12f5-451d-94c6-cb094c101742,normal,0,0,0.56853306,0
data\labelled\cancer\d66dbd3f-d03a-43c9-bf95-a97503acc602.jpg,1,train,d66dbd3f-d03a-43c9-bf95-a97503acc602,cancer,1,1,0.57855356,1
data\labelled\cancer\7e3f6acd-c9cc-440e-ba01-fedab0462fed.jpg,1,train,7e3f6acd-c9cc-440e-ba01-fedab0462fed,cancer,1,0,0.5191205,0
data\labelled\cancer\bb6a90e9-c19c-4a19-b5f8-b11460f393fe.jpg,1,train,bb6a90e9-c19c-4a19-b5f8-b11460f393fe,cancer,1,1,0.57144314,1
data\labelled\normal\b1453a6d-1a6e-4749-a86d-0650eda15190.jpg,0,train,b1453a6d-1a6e-4749-a86d-0650eda15190,normal,0,0,0.5605266,0
data\labelled\cancer\a038584c-fc3c-4f82-9a7c-1c4bb7339c2e.jpg,1,train,a038584c-fc3c-4f82-9a7c-1c4bb7339c2e,cancer,1,1,0.567376,1
data\labelled\cancer\972144a3-6ecd-47af-a5dd-e91ab48a21b9.jpg,1,train,972144a3-6ecd-47af-a5dd-e91ab48a21b9,cancer,1,1,0.5435275,1
data\labelled\normal\9e761fb7-da77-4feb-b268-2d873293ee78.jpg,0,train,9e761fb7-da77-4feb-b268-2d873293ee78,normal,0,0,0.5768921,0
data\labelled\cancer\ed12774e-df91-40f1-aed6-77a5a53ede2d.jpg,1,train,ed12774e-df91-40f1-aed6-77a5a53ede2d,cancer,1,1,0.56101876,1
data\labelled\normal\2251259e-64fd-44cd-b813-357d0a47e563.jpg,0,train,2251259e-64fd-44cd-b813-357d0a47e563,normal,0,0,0.576247,0
data\labelled\normal\3ebe5f3a-90d3-4e79-af97-3d9584215044.jpg,0,train,3ebe5f3a-90d3-4e79-af97-3d9584215044,normal,0,0,0.5832491,0
data\labelled\normal\22164f5b-9b9f-4fcc-897a-9f902d730bbe.jpg,0,train,22164f5b-9b9f-4fcc-897a-9f902d730bbe,normal,0,0,0.56998205,0
data\labelled\cancer\be3210d7-e2d1-4cc3-ba77-c1941fd0042a.jpg,1,train,be3210d7-e2d1-4cc3-ba77-c1941fd0042a,cancer,1,1,0.52264655,1
data\labelled\cancer\fc219ce8-d4b3-4015-bb19-3ee1bb963e3e.jpg,1,train,fc219ce8-d4b3-4015-bb19-3ee1bb963e3e,cancer,1,0,0.5417263,0
data\labelled\normal\525c8281-5980-4d11-b608-5176bdeb092b.jpg,0,train,525c8281-5980-4d11-b608-5176bdeb092b,normal,0,0,0.5425081,0
data\labelled\cancer\5af7f2cb-a82b-4635-865e-5b57dbc7a087.jpg,1,train,5af7f2cb-a82b-4635-865e-5b57dbc7a087,cancer,1,1,0.53787106,1
data\labelled\cancer\cb4e6fda-be13-454b-bbda-f75e184444d5.jpg,1,train,cb4e6fda-be13-454b-bbda-f75e184444d5,cancer,1,1,0.58758974,1
data\labelled\normal\3f4cb3e9-75fc-4b40-942c-327f2498b37d.jpg,0,train,3f4cb3e9-75fc-4b40-942c-327f2498b37d,normal,0,0,0.5588443,0
data\labelled\normal\89b229af-866b-4625-82ea-5e8041b9236c.jpg,0,train,89b229af-866b-4625-82ea-5e8041b9236c,normal,0,0,0.52644044,0
data\labelled\cancer\b79ca26b-a909-4d31-a657-c4f357e3c8e3.jpg,1,train,b79ca26b-a909-4d31-a657-c4f357e3c8e3,cancer,1,1,0.57808757,1
data\labelled\normal\09316c60-86c8-4f24-934e-8d433b8b9d72.jpg,0,train,09316c60-86c8-4f24-934e-8d433b8b9d72,normal,0,0,0.6199466,0
data\labelled\cancer\3c3d07cb-ec2a-43b0-b8a3-3a51573ad930.jpg,1,train,3c3d07cb-ec2a-43b0-b8a3-3a51573ad930,cancer,1,0,0.5274029,0
data\labelled\normal\692bfc6f-bcec-42a8-90e9-a867895b9a4b.jpg,0,train,692bfc6f-bcec-42a8-90e9-a867895b9a4b,normal,0,0,0.61141306,0
data\labelled\normal\4a08dc59-4f77-4ae0-80b4-749dbde82b82.jpg,0,train,4a08dc59-4f77-4ae0-80b4-749dbde82b82,normal,0,1,0.5785566,1
data\labelled\cancer\695f9d7a-083f-4856-83d1-638d13b39c99.jpg,1,train,695f9d7a-083f-4856-83d1-638d13b39c99,cancer,1,1,0.5661572,1
data\labelled\normal\4660cb59-2980-4933-a315-3326eb72148e.jpg,0,train,4660cb59-2980-4933-a315-3326eb72148e,normal,0,0,0.5719005,0
data\labelled\cancer\d018fae6-42d9-4de3-acbf-6c2637c28482.jpg,1,train,d018fae6-42d9-4de3-acbf-6c2637c28482,cancer,1,1,0.5798633,1
data\labelled\normal\1953e998-29b8-4d36-975f-007c4fcb84a3.jpg,0,train,1953e998-29b8-4d36-975f-007c4fcb84a3,normal,0,0,0.54642665,0
data\labelled\normal\ab973d15-084b-402c-9ffe-3b953ad26f4b.jpg,0,train,ab973d15-084b-402c-9ffe-3b953ad26f4b,normal,0,0,0.55735564,0
data\labelled\cancer\e4412dd3-fd1e-44cc-8258-f136b540c401.jpg,1,train,e4412dd3-fd1e-44cc-8258-f136b540c401,cancer,1,1,0.5757617,1
data\labelled\normal\71f8bd3d-58a9-485f-860d-cfca5fd01bae.jpg,0,train,71f8bd3d-58a9-485f-860d-cfca5fd01bae,normal,0,0,0.5727045,0
data\labelled\cancer\c6c3d533-e366-42ff-9e69-fa2823910709.jpg,1,train,c6c3d533-e366-42ff-9e69-fa2823910709,cancer,1,0,0.53600246,0
data\labelled\normal\42ba7707-26c1-42bc-a00f-3d456741ef96.jpg,0,train,42ba7707-26c1-42bc-a00f-3d456741ef96,normal,0,0,0.5565334,0
data\labelled\normal\14703976-0467-4acb-ade4-8a375ebfd4f9.jpg,0,train,14703976-0467-4acb-ade4-8a375ebfd4f9,normal,0,0,0.5448433,0
data\labelled\cancer\90f3723c-bc7e-4ad4-a0d7-574a70952231.jpg,1,train,90f3723c-bc7e-4ad4-a0d7-574a70952231,cancer,1,1,0.5385546,1
data\labelled\cancer\05340cd4-3bb2-459d-9937-bf27d52d8351.jpg,1,train,05340cd4-3bb2-459d-9937-bf27d52d8351,cancer,1,1,0.5797835,1
data\labelled\normal\9e28ecf2-b8cd-4ea5-84b3-bf8f92d21f99.jpg,0,train,9e28ecf2-b8cd-4ea5-84b3-bf8f92d21f99,normal,0,0,0.56070745,0
data\labelled\cancer\d8178c68-a01b-4d41-973d-bbd052aa7a4a.jpg,1,train,d8178c68-a01b-4d41-973d-bbd052aa7a4a,cancer,1,1,0.56915605,1
data\labelled\normal\4a71d847-c91b-481d-b112-3550c6655893.jpg,0,train,4a71d847-c91b-481d-b112-3550c6655893,normal,0,0,0.5986935,0
data\labelled\cancer\7565fa51-16fd-4a71-a942-b91713a7a0d6.jpg,1,train,7565fa51-16fd-4a71-a942-b91713a7a0d6,cancer,1,0,0.56348747,0
data\labelled\cancer\46587a13-4250-4d3e-b930-7d7be8f96425.jpg,1,train,46587a13-4250-4d3e-b930-7d7be8f96425,cancer,1,0,0.53425884,0
data\labelled\normal\7b966204-9ca7-4960-b261-026b29b427c4.jpg,0,train,7b966204-9ca7-4960-b261-026b29b427c4,normal,0,0,0.57004344,0
data\labelled\normal\cfda6929-14c5-41b9-b754-6922cb0920dc.jpg,0,train,cfda6929-14c5-41b9-b754-6922cb0920dc,normal,0,0,0.5490082,0
data\labelled\cancer\cc0ae8e9-036f-4ee9-a4ee-6828120e0ea3.jpg,1,val,cc0ae8e9-036f-4ee9-a4ee-6828120e0ea3,cancer,1,1,0.62702096,1
data\labelled\normal\8e1cc70d-cccd-416c-99a5-df64bcadeb26.jpg,0,val,8e1cc70d-cccd-416c-99a5-df64bcadeb26,normal,0,0,0.5829688,0
data\labelled\cancer\9973120d-7335-43da-bd9b-3c686afbcf32.jpg,1,val,9973120d-7335-43da-bd9b-3c686afbcf32,cancer,1,0,0.52023584,0
data\labelled\cancer\4d14c944-eed4-4c4f-8fd9-cbbb53e8f35d.jpg,1,val,4d14c944-eed4-4c4f-8fd9-cbbb53e8f35d,cancer,1,1,0.59737587,1
data\labelled\cancer\5066bf9b-d944-4d40-ba06-d3242c7a4fd1.jpg,1,val,5066bf9b-d944-4d40-ba06-d3242c7a4fd1,cancer,1,1,0.59964037,1
data\labelled\normal\9922995f-dc68-4b39-87c8-68e54635ce32.jpg,0,val,9922995f-dc68-4b39-87c8-68e54635ce32,normal,0,0,0.6167658,0
data\labelled\normal\2794c549-1ec3-4d08-abed-84ccd53791f3.jpg,0,val,2794c549-1ec3-4d08-abed-84ccd53791f3,normal,0,0,0.58679736,0
data\labelled\cancer\0f718241-8f63-4b55-81ce-315324b51069.jpg,1,val,0f718241-8f63-4b55-81ce-315324b51069,cancer,1,0,0.5080853,0
