image_path,label,split,image_id,label_name,true_label,weak_label_kmeans,confidence_score,weak_label_kmeans_filtered
data\labelled\normal\d86f39ec-55a1-4484-bcfd-78d5debb43f8.jpg,0,train,d86f39ec-55a1-4484-bcfd-78d5debb43f8,normal,0,0,0.2669685337403719,0
data\labelled\normal\6eb7dfc4-dd36-41cb-b5ea-f68c01aab86b.jpg,0,train,6eb7dfc4-dd36-41cb-b5ea-f68c01aab86b,normal,0,0,0.17918772234010427,0
data\labelled\cancer\e3d3fa80-8a89-4051-b0fa-0c8b4afd2c0a.jpg,1,train,e3d3fa80-8a89-4051-b0fa-0c8b4afd2c0a,cancer,1,1,0.21762436038277277,1
data\labelled\cancer\9de0f27b-f3db-4bd7-a2ad-6e785ef36cdc.jpg,1,train,9de0f27b-f3db-4bd7-a2ad-6e785ef36cdc,cancer,1,1,0.25068141465216487,1
data\labelled\normal\b8a6c84a-b258-475d-b97d-7612bad79cad.jpg,0,train,b8a6c84a-b258-475d-b97d-7612bad79cad,normal,0,1,0.20063139443050482,1
data\labelled\normal\4131a20d-a19d-4cd9-8791-ee358e6f42d6.jpg,0,train,4131a20d-a19d-4cd9-8791-ee358e6f42d6,normal,0,0,0.1697715255408898,0
data\labelled\cancer\b6a41ca0-aeea-43a8-b629-7c433cf03143.jpg,1,train,b6a41ca0-aeea-43a8-b629-7c433cf03143,cancer,1,1,0.17551162587730929,1
data\labelled\cancer\ad5ff4c2-0fe6-4e8c-a022-c11fff3643f3.jpg,1,train,ad5ff4c2-0fe6-4e8c-a022-c11fff3643f3,cancer,1,1,0.19169460526187487,1
data\labelled\cancer\9c3a8bbd-8bdb-4fdc-8573-7897d77224c9.jpg,1,train,9c3a8bbd-8bdb-4fdc-8573-7897d77224c9,cancer,1,1,0.25044977277099656,1
data\labelled\normal\0161f9bf-fa93-4d02-8dce-84bfd49fe6a2.jpg,0,train,0161f9bf-fa93-4d02-8dce-84bfd49fe6a2,normal,0,0,0.24953199181413943,0
data\labelled\cancer\bbde529e-fccd-4dc5-adfa-622852402a67.jpg,1,train,bbde529e-fccd-4dc5-adfa-622852402a67,cancer,1,1,0.30892372163892723,1
data\labelled\normal\e30c2ce4-50bd-44a9-8db0-d54f47cc61b5.jpg,0,train,e30c2ce4-50bd-44a9-8db0-d54f47cc61b5,normal,0,0,0.32873984735401673,0
data\labelled\normal\c04639ab-3a69-4632-8740-651317d7a382.jpg,0,train,c04639ab-3a69-4632-8740-651317d7a382,normal,0,0,0.22300974896012027,0
data\labelled\cancer\1c043dbb-4623-4769-8e5e-0223bd745040.jpg,1,train,1c043dbb-4623-4769-8e5e-0223bd745040,cancer,1,1,0.17879997297988148,1
data\labelled\cancer\fb26fe09-029a-4386-a7eb-0b00c87a675d.jpg,1,train,fb26fe09-029a-4386-a7eb-0b00c87a675d,cancer,1,0,0.21816152196148964,0
