image_path,label,split,image_id,label_name,true_label,weak_label_kmeans,confidence_score,weak_label_kmeans_filtered
data\unlabelled\005d9a37-8894-4eb5-8367-1015d4a43638.jpg,-1,unlabeled,005d9a37-8894-4eb5-8367-1015d4a43638,unlabeled,-1,1,0.6162207,1
data\unlabelled\01e09766-fcd9-4df0-82f7-265f9ffecdf6.jpg,-1,unlabeled,01e09766-fcd9-4df0-82f7-265f9ffecdf6,unlabeled,-1,1,0.6194684,1
data\unlabelled\02d2c771-7bf5-4771-972c-7f123088b7b0.jpg,-1,unlabeled,02d2c771-7bf5-4771-972c-7f123088b7b0,unlabeled,-1,1,0.6149817,1
data\unlabelled\03c5ec29-9720-4c07-a8e1-4a8a70852f40.jpg,-1,unlabeled,03c5ec29-9720-4c07-a8e1-4a8a70852f40,unlabeled,-1,0,0.596074,0
data\unlabelled\0477e002-4775-44e2-84d9-52b93f5ee697.jpg,-1,unlabeled,0477e002-4775-44e2-84d9-52b93f5ee697,unlabeled,-1,1,0.60804504,1
data\unlabelled\047c949c-1610-4094-bee7-10b6ea7064a5.jpg,-1,unlabeled,047c949c-1610-4094-bee7-10b6ea7064a5,unlabeled,-1,1,0.6176199,1
data\unlabelled\04b806ad-e6ed-47bc-a2e8-ce0d2d790de4.jpg,-1,unlabeled,04b806ad-e6ed-47bc-a2e8-ce0d2d790de4,unlabeled,-1,0,0.60620564,0
data\unlabelled\04d076ce-4216-47ba-9013-6fe6956c7aed.jpg,-1,unlabeled,04d076ce-4216-47ba-9013-6fe6956c7aed,unlabeled,-1,1,0.6099145,1
data\unlabelled\04dd2b78-0aa3-4364-b762-21a6e71d3658.jpg,-1,unlabeled,04dd2b78-0aa3-4364-b762-21a6e71d3658,unlabeled,-1,0,0.60651046,0
data\unlabelled\08d0d2e6-01f2-4344-b1a4-d603101b76a3.jpg,-1,unlabeled,08d0d2e6-01f2-4344-b1a4-d603101b76a3,unlabeled,-1,1,0.6067577,1
data\unlabelled\0a196d89-4764-48b9-ac68-a8b1cb03d713.jpg,-1,unlabeled,0a196d89-4764-48b9-ac68-a8b1cb03d713,unlabeled,-1,1,0.61145395,1
data\unlabelled\0a3ac056-66c2-4c74-a857-07670a84928e.jpg,-1,unlabeled,0a3ac056-66c2-4c74-a857-07670a84928e,unlabeled,-1,0,0.59288347,0
data\unlabelled\0a648d43-8eac-4a02-a654-e003192e6647.jpg,-1,unlabeled,0a648d43-8eac-4a02-a654-e003192e6647,unlabeled,-1,0,0.59179384,0
data\unlabelled\0b52ef0e-2a70-40c9-902d-2fd6ce8f37bf.jpg,-1,unlabeled,0b52ef0e-2a70-40c9-902d-2fd6ce8f37bf,unlabeled,-1,1,0.6113009,1
data\unlabelled\0b89c970-7727-4316-af01-1b2ea58abecb.jpg,-1,unlabeled,0b89c970-7727-4316-af01-1b2ea58abecb,unlabeled,-1,0,0.6208075,0
data\unlabelled\0b95d2b0-db4a-4f15-a620-032b1b40cbea.jpg,-1,unlabeled,0b95d2b0-db4a-4f15-a620-032b1b40cbea,unlabeled,-1,1,0.6087556,1
data\unlabelled\0ccc544b-06cd-4130-9864-0a94a632093b.jpg,-1,unlabeled,0ccc544b-06cd-4130-9864-0a94a632093b,unlabeled,-1,1,0.6178888,1
data\unlabelled\0e03c995-5e01-4d93-99bc-24db1ad09cd7.jpg,-1,unlabeled,0e03c995-5e01-4d93-99bc-24db1ad09cd7,unlabeled,-1,0,0.6225442,0
data\unlabelled\0f1671c9-0387-484e-8e31-61e1fe074e7b.jpg,-1,unlabeled,0f1671c9-0387-484e-8e31-61e1fe074e7b,unlabeled,-1,1,0.60575414,1
