scenario,fold,accuracy,precision,recall,f1,f2,roc_auc
scenario_a,1.0,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9459459459459459,1.0
scenario_a,2.0,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9459459459459459,0.9911111111111112
scenario_a,3.0,1.0,1.0,1.0,1.0,1.0,1.0
scenario_a,4.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9911111111111112
scenario_a,5.0,1.0,1.0,1.0,1.0,1.0,1.0
scenario_b,1.0,0.6333333333333333,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.5555555555555556,0.7555555555555555
scenario_b,2.0,0.7,0.75,0.6,0.6666666666666666,0.625,0.8355555555555556
scenario_b,3.0,0.6333333333333333,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.5555555555555556,0.8266666666666667
scenario_b,4.0,0.7333333333333333,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.684931506849315,0.8933333333333333
scenario_b,5.0,0.6666666666666666,0.7272727272727273,0.5333333333333333,0.6153846153846154,0.5633802816901409,0.7822222222222223
scenario_c,1.0,0.9666666666666667,0.9375,1.0,0.967741935483871,0.9868421052631579,1.0
scenario_c,2.0,1.0,1.0,1.0,1.0,1.0,1.0
scenario_c,3.0,1.0,1.0,1.0,1.0,1.0,1.0
scenario_c,4.0,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9459459459459459,0.9955555555555555
scenario_c,5.0,1.0,1.0,1.0,1.0,1.0,1.0
